source_expression,modality,modality_class,input_scale,probe_based,gene_aggregation,transform,sample_binding_rule,provenance_kind,normalization_provenance,status
GSE207422_bulk,bulk RNA-seq,BULK_RNA,LOG2_TPM,False,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,NATIVE_ID_HEADER,file name as distributed by the submitter,"file name 'GSE207422_NSCLC_bulk_RNAseq_log2TPM.txt.gz' declares log2 TPM, so the values are already transformed and must not be logged again",QUANTITATIVE_READY
GSE310856_bulk,bulk RNA-seq,BULK_RNA,RAW_COUNTS,False,SUM_BEFORE_TRANSFORM,SUM_TO_GENE_THEN_LOG2_CPM_PLUS_1,GEO_SAMPLE_LABEL,file name as distributed by the submitter + GEO series-matrix !Sample_data_processing (verbatim),"file name 'GSE310856_raw_counts.txt.gz' declares raw counts; GEO data processing: ""Bulk RNA-Seq reads were aligned using STAR v2.7.9a to GENCODE Human Release 39 (GRCh38.p13) and read counts matrix produced""",QUANTITATIVE_READY
GSE319641_bulk,bulk RNA-seq,BULK_RNA,LINEAR_ABUNDANCE_COMBAT_ADJUSTED,False,MEDIAN_AFTER_TRANSFORM,LOG2_X_PLUS_1_THEN_MEDIAN_TO_GENE,GEO_SAMPLE_LABEL,GEO series-matrix !Sample_data_processing (verbatim),"GEO data processing (verbatim): ""Gene-level transcripts per million (TPM) values were obtained using RSEM. TPM values were log2-transformed after adding an offset of 1, ComBat-corrected, and converted back to linear TPM."" The delivered matrix is therefore 2**y - 1 with y = ComBat(log2(TPM + 1)): it is not linear TPM any more (column sums no longer equal 1e6 and values reach -0.98), so the only legal within-source representation recovers the author-computed log scale by log2(x + 1). We perform no batch correction here; the matrix is flagged author_batch_corrected because the author already did it",QUANTITATIVE_READY
GSE319794_bulk,bulk RNA-seq,BULK_RNA,TPM,False,MEDIAN_AFTER_TRANSFORM,LOG2_TPM_PLUS_1_THEN_MEDIAN_TO_GENE,NATIVE_ID_HEADER,file name as distributed by the submitter,file name 'GSE319794_NovaSeq36_ProteinCoding_TPM.txt.gz' declares transcripts per million,QUANTITATIVE_READY
GSE3578_array,microarray,MICROARRAY,UNKNOWN,True,MEDIAN_AFTER_TRANSFORM,NOT_APPLIED,GSM_ID_HEADER,GEO series-matrix !Sample_data_processing (verbatim) (insufficient),"GEO data processing states only ""global median normalization"" for a 2004 spotted cDNA/oligo platform, and the delivered values are neither a documented linear intensity nor a documented log scale (median 1.008, 0.47% negative, maximum 1221.5), which is consistent with a ratio-like quantity. No legal transform exists without inventing one",SEMANTICS_NOT_ESTABLISHED
GSE55374_array,microarray,MICROARRAY,ARRAY_NORMALIZED_LOG,True,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,GSM_ID_HEADER,GEO series-matrix !Sample_data_processing (verbatim),"GEO data processing (verbatim): ""Illumina probe profiles were quantile normalised using the lumi package""; lumi quantile-normalizes on the log2 scale",QUANTITATIVE_READY
GSE65303_array,microarray,MICROARRAY,UNKNOWN,True,MEDIAN_AFTER_TRANSFORM,NOT_APPLIED,GSM_ID_HEADER,GEO series-matrix !Sample_data_processing (verbatim) (insufficient),"GEO data processing names the software used (arrayQualityMetrics, GEOquery, Biobase, marray, limma) but never states the normalization or the scale of the delivered values; magnitude alone is not an admissible basis, so the source fails closed until its submitters document it",SEMANTICS_NOT_ESTABLISHED
GSE87455_array,microarray,MICROARRAY,ARRAY_NORMALIZED_LINEAR,True,MEDIAN_AFTER_TRANSFORM,LOG2_X_PLUS_1_THEN_MEDIAN_TO_GENE,GSM_ID_HEADER,GEO series-matrix !Sample_data_processing (verbatim),"GEO data processing (verbatim): ""The data were normalised using quantile normalisation with BASE""; Illumina BASE writes linear summated normalized signal (all 275 columns share one fixed total), so the flagged extension route log2(x + 1) applies",QUANTITATIVE_READY
GSE91061_bulk,bulk RNA-seq,BULK_RNA,FPKM,False,MEDIAN_AFTER_TRANSFORM,LOG2_FPKM_PLUS_1_THEN_MEDIAN_TO_GENE,NATIVE_ID_HEADER,file name as distributed by the submitter,file name 'GSE91061_BMS038109Sample.hg19KnownGene.fpkm.csv.gz' declares FPKM on the hg19 KnownGene annotation,QUANTITATIVE_READY
MGH_GSE115821_bulk,bulk RNA-seq,BULK_RNA,RAW_COUNTS,False,SUM_BEFORE_TRANSFORM,SUM_TO_GENE_THEN_LOG2_CPM_PLUS_1,MGH_LIBRARY_LABEL,derivation code in this repository (we produced this file),per-gene count matrix assembled locally from the MGH GSE115821 HTSeq pipeline; the native row values are integer read counts per gene,QUANTITATIVE_READY
MGH_GSE168204_bulk,bulk RNA-seq,BULK_RNA,RAW_COUNTS,False,SUM_BEFORE_TRANSFORM,SUM_TO_GENE_THEN_LOG2_CPM_PLUS_1,MGH_LIBRARY_LABEL,derivation code in this repository (we produced this file),per-gene count matrix assembled locally from the MGH GSE168204 HTSeq pipeline; the native row values are integer read counts per gene,QUANTITATIVE_READY
MORRISON_bulk,bulk RNA-seq,BULK_RNA,LOG2_CPM,False,MEDIAN_AFTER_TRANSFORM,IDENTITY_THEN_MEDIAN_TO_GENE,NATIVE_ID_HEADER,file name as distributed by the submitter,"file name 'RNA-CancerCell-MORRISON1-no_batch_correction-logcpm-all_samples.tsv' declares author-computed log2 CPM and explicitly no batch correction, so the values pass through unchanged",QUANTITATIVE_READY
TRIO_US_B07_array,two-channel microarray,MICROARRAY,UNKNOWN,True,MEDIAN_AFTER_TRANSFORM,NOT_APPLIED,GSM_ID_HEADER,GEO series-matrix !Sample_data_processing (verbatim),"GEO data processing (verbatim): ""Agilent Feature Extraction Software was used with no background subtraction and Linear/LOWESS normalization ... dye normalization select method = Rank Consistent probes"" and ""Agilent Feature Extracted data was imported into Rosetta Resolver version 7.2 ... Multiple probes with the same sequence code were combined into a single value using the Rosetta Resolver error-weighted averaging""; the matrix is centred on zero (50.5% negative, range -2.85 to 2.40), i.e. a two-channel log-ratio quantity, so there is no single-sample abundance to place on a canonical abundance scale",SEMANTICS_NOT_ESTABLISHED
